Generation, Best Value, Time
1, 10, 0.01323390007019043
2, 10, 0.019976139068603516
3, 9, 0.02616262435913086
4, 9, 0.03182387351989746
5, 10, 0.03709149360656738
6, 10, 0.04333615303039551
7, 9, 0.048675537109375
8, 9, 0.05382657051086426
9, 9, 0.06005978584289551
10, 9, 0.0654141902923584
11, 9, 0.07062697410583496
12, 9, 0.0772554874420166
13, 9, 0.08274507522583008
14, 9, 0.0889425277709961
15, 9, 0.09475064277648926
16, 9, 0.10016131401062012
17, 8, 0.10743141174316406
18, 9, 0.11274027824401855
19, 10, 0.11763858795166016
20, 10, 0.12360596656799316
21, 10, 0.12865996360778809
22, 10, 0.13408994674682617
23, 10, 0.13915085792541504
24, 10, 0.14554572105407715
25, 9, 0.15171575546264648
26, 10, 0.1581568717956543
27, 9, 0.16376304626464844
28, 9, 0.16908860206604004
29, 10, 0.17526841163635254
30, 10, 0.18032193183898926
31, 10, 0.1858232021331787
32, 10, 0.19279980659484863
33, 10, 0.19858145713806152
34, 10, 0.20395684242248535
35, 10, 0.21005487442016602
36, 10, 0.21656227111816406
37, 10, 0.22116708755493164
38, 9, 0.22764968872070312
39, 9, 0.2335190773010254
40, 10, 0.24055838584899902
41, 9, 0.2458662986755371
42, 9, 0.2516765594482422
43, 10, 0.25753259658813477
44, 10, 0.26352381706237793
45, 10, 0.2687249183654785
46, 10, 0.2750861644744873
47, 9, 0.2806272506713867
48, 9, 0.28565263748168945
49, 10, 0.2923851013183594
50, 10, 0.29824304580688477
51, 9, 0.30339980125427246
52, 9, 0.30934762954711914
53, 10, 0.3151674270629883
54, 10, 0.32074785232543945
55, 10, 0.3261415958404541
56, 9, 0.33246469497680664
57, 9, 0.33925652503967285
58, 9, 0.3459186553955078
59, 10, 0.3528609275817871
60, 10, 0.35822510719299316
61, 10, 0.3647735118865967
62, 10, 0.37105798721313477
63, 10, 0.3773975372314453
64, 10, 0.3844606876373291
65, 10, 0.39015889167785645
66, 10, 0.3971235752105713
67, 10, 0.402907133102417
68, 10, 0.40917396545410156
69, 10, 0.41536927223205566
70, 10, 0.42088770866394043
71, 10, 0.4277634620666504
72, 10, 0.4335014820098877
73, 10, 0.4391493797302246
74, 10, 0.4453880786895752
75, 10, 0.4509894847869873
76, 10, 0.45684075355529785
77, 10, 0.463240385055542
78, 10, 0.4694063663482666
79, 10, 0.4758474826812744
80, 10, 0.48174595832824707
81, 10, 0.48734569549560547
82, 10, 0.4935569763183594
83, 10, 0.49936532974243164
84, 10, 0.5050327777862549
85, 10, 0.5106217861175537
86, 10, 0.5161187648773193
87, 10, 0.5211160182952881
88, 10, 0.5271692276000977
89, 9, 0.5321941375732422
90, 10, 0.5377166271209717
91, 10, 0.5437197685241699
92, 10, 0.5492866039276123
93, 10, 0.5545523166656494
94, 10, 0.5604500770568848
95, 10, 0.5661039352416992
96, 10, 0.5707821846008301
97, 10, 0.5770523548126221
98, 10, 0.5826754570007324
99, 10, 0.5879278182983398
100, 10, 0.5939781665802002
